brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
Mahindra,Thar LX D 4WD MT CONVERTIBLE,Manual,2020,01-01-2021,Diesel,2184,11003,1st owner,1231000,23431,TRUE,No,HR26,2020 Mahindra Thar LX D 4WD MT CONVERTIBLE
Hyundai,Verna 1.6 VTVT SX,Manual,2018,01-07-2018,Petrol,1591,66936,1st owner,786000,15359,TRUE,No,DL7C,2018 Hyundai Verna 1.6 VTVT SX
Tata,Harrier XT PLUS 2.0L KRYOTEC DARK EDITON,Manual,2022,01-08-2022,Diesel,1956,27990,1st owner,1489000,28349,TRUE,No,HR29,2022 Tata Harrier XT PLUS 2.0L KRYOTEC DARK EDITON
Honda,City 1.5L I-VTE V CVT,Automatic,2023,01-04-2023,Petrol,1498,5061,1st owner,1227000,23355,TRUE,Yes,DL4C,2023 Honda City 1.5L I-VTE V CVT
Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2021,01-07-2021,Diesel,1498,23480,1st owner,887000,16883,TRUE,No,UP14,2021 Ford Ecosport TITANIUM 1.5L DIESEL
Honda,WR-V 1.2L I-VTEC VX MT,Manual,2021,01-10-2021,Petrol,1199,44787,1st owner,796000,15561,TRUE,No,UP32,2021 Honda WR-V 1.2L I-VTEC VX MT
Tata,PUNCH CREATIVE  1.2 RTN DUAL TONE,Manual,2022,01-11-2022,Petrol,1199,450,1st owner,813000,15475,TRUE,Yes,DL3C,2022 Tata PUNCH CREATIVE  1.2 RTN DUAL TONE
Tata,NEXON XMA DIESEL,Automatic,2020,01-02-2021,Diesel,,59866,1st owner,728000,14228,TRUE,No,DL5C,2020 Tata NEXON XMA DIESEL
Mahindra,XUV700 AX 7 LUXURY D AWD AT 7 STR,Automatic,2022,01-04-2022,Diesel,2184,62567,1st owner,2322000,44197,TRUE,No,DL10,2022 Mahindra XUV700 AX 7 LUXURY D AWD AT 7 STR
Ford,Ecosport TITANIUM + 1.5L PETROL AT,Automatic,2019,01-07-2019,Petrol,1497,58503,1st owner,766000,14977,TRUE,No,DL10,2019 Ford Ecosport TITANIUM + 1.5L PETROL AT
Maruti,Dzire LXI,Manual,2018,01-10-2018,Petrol,1197,58159,1st owner,471000,9217,TRUE,No,HR26,2018 Maruti Dzire LXI
Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Manual,2023,01-05-2023,Petrol,1197,15568,1st owner,689000,13470,TRUE,No,DL9C,2023 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT
Tata,Tiago XE PETROL,Manual,2023,01-04-2023,Petrol,1199,6676,1st owner,536000,10480,TRUE,No,HR51,2023 Tata Tiago XE PETROL
Hyundai,Creta E PLUS 1.6 PETROL,Manual,2018,01-01-2018,Petrol,,59085,1st owner,823000,15657,TRUE,No,DL4C,2018 Hyundai Creta E PLUS 1.6 PETROL
Maruti,Alto K10 VXI,Manual,2018,01-11-2018,Petrol,998,52966,1st owner,310000,6068,TRUE,Yes,HR51,2018 Maruti Alto K10 VXI
Hyundai,Verna 1.6 CRDI SX,Manual,2020,01-03-2020,Diesel,1582,60592,1st owner,993000,18901,TRUE,Yes,HR29,2020 Hyundai Verna 1.6 CRDI SX
Maruti,Alto K10 VXI AMT,Automatic,2014,01-02-2015,Petrol,998,71297,1st owner,265000,5901,TRUE,No,DL3C,2014 Maruti Alto K10 VXI AMT
Honda,Amaze 1.2L I-VTEC S,Manual,2022,01-11-2022,Petrol,1199,15935,1st owner,699000,13666,TRUE,No,DL11,2022 Honda Amaze 1.2L I-VTEC S
KIA,SELTOS HTE 1.5 DIESEL,Manual,2021,01-09-2021,Diesel,1493,71040,1st owner,980000,18653,TRUE,No,HR98,2021 KIA SELTOS HTE 1.5 DIESEL
Hyundai,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Manual,2023,01-08-2023,Petrol,1197,2850,1st owner,710000,13881,TRUE,No,DL10,2023 Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT
MG,HECTOR SHARP 1.5 PETROL CVT,Automatic,2022,01-01-2022,Petrol,1451,26999,1st owner,1652000,31444,TRUE,No,DL12,2022 MG HECTOR SHARP 1.5 PETROL CVT
Tata,TIGOR XM PETROL,Manual,2023,01-02-2024,Petrol,1199,12096,1st owner,590000,11529,TRUE,No,HR76,2023 Tata TIGOR XM PETROL
Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017,01-10-2017,Petrol,1497,65434,2nd owner,787000,15392,TRUE,No,DL3C,2017 Honda City 1.5L I-VTEC ZX CVT
Hyundai,Verna SX 1.5 CRDI,Manual,2020,01-10-2020,Diesel,1493,48995,1st owner,1060000,20176,TRUE,Yes,HR26,2020 Hyundai Verna SX 1.5 CRDI
Ford,FREESTYLE TITANIUM PLUS 1.2 PETROL,Manual,2018,01-08-2018,Petrol,1194,66584,1st owner,495000,9675,TRUE,No,HR26,2018 Ford FREESTYLE TITANIUM PLUS 1.2 PETROL
Maruti,Ciaz S 1.5 MT PETROL,Manual,2020,01-08-2020,Petrol,1462,24961,1st owner,878000,16712,TRUE,No,HR26,2020 Maruti Ciaz S 1.5 MT PETROL
Maruti,Dzire LXI,Manual,2019,01-12-2019,Petrol,1197,33972,1st owner,514000,10041,TRUE,No,DL9C,2019 Maruti Dzire LXI
Tata,Tiago XZ PLUS CNG,Manual,2022,01-02-2022,CNG,1199,22874,1st owner,684000,13367,TRUE,No,HR98,2022 Tata Tiago XZ PLUS CNG
Maruti,Dzire ZXI PLUS,Manual,2019,01-08-2019,Petrol,1197,109938,1st owner,584000,12996,TRUE,Yes,DL3C,2019 Maruti Dzire ZXI PLUS
Maruti,Alto LXI O,Manual,2019,01-09-2019,Petrol,796,60452,1st owner,316000,6174,TRUE,No,DL8C,2019 Maruti Alto LXI O
Maruti,Celerio VXI AMT,Automatic,2016,01-02-2016,Petrol,998,32747,1st owner,394000,7708,TRUE,Yes,DL8C,2016 Maruti Celerio VXI AMT
KIA,CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR,Automatic,2022,01-12-2022,Diesel,1493,34694,1st owner,1654000,31482,TRUE,No,HR36,2022 KIA CARENS LUXURY PLUS 1.5 DIESEL AT 7 STR
Maruti,IGNIS DELTA 1.2,Manual,2019,01-03-2019,Petrol,1197,51244,1st owner,472000,9224,TRUE,Yes,DL4C,2019 Maruti IGNIS DELTA 1.2
Renault,TRIBER RXL MT,Manual,2023,01-01-2024,Petrol,999,6843,1st owner,636000,12428,TRUE,No,HR98,2023 Renault TRIBER RXL MT
Ford,Ecosport TITANIUM 1.5L PETROL AT,Automatic,2019,01-06-2019,Petrol,1496,20751,1st owner,806000,15342,TRUE,No,DL1C,2019 Ford Ecosport TITANIUM 1.5L PETROL AT
Tata,PUNCH ADVENTURE RHYTHM PACK AMT,Automatic,2023,01-10-2023,Petrol,1199,16393,1st owner,668000,13056,TRUE,Yes,DL9C,2023 Tata PUNCH ADVENTURE RHYTHM PACK AMT
Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017,01-06-2017,Petrol,1497,74671,1st owner,832000,15836,TRUE,No,HR26,2017 Honda City 1.5L I-VTEC ZX CVT
Hyundai,Verna 1.6 VTVT SX O,Manual,2017,01-09-2017,Petrol,1591,94020,1st owner,819000,15592,TRUE,No,DL7C,2017 Hyundai Verna 1.6 VTVT SX O
Mahindra,XUV500 W7 AT,Automatic,2021,01-04-2021,Diesel,2179,25366,1st owner,1400000,26644,TRUE,No,HR29,2021 Mahindra XUV500 W7 AT
Maruti,S PRESSO VXI CNG,Manual,2020,01-10-2020,CNG,998,75502,1st owner,432000,8447,TRUE,No,DL11,2020 Maruti S PRESSO VXI CNG
Tata,NEXON XZ PLUS PETROL,Manual,2022,01-05-2022,Petrol,1199,22894,1st owner,941000,17911,TRUE,Yes,DL9C,2022 Tata NEXON XZ PLUS PETROL
Tata,Tiago XZ PETROL,Manual,2020,01-08-2020,Petrol,1199,42313,2nd owner,456000,8911,TRUE,No,HR26,2020 Tata Tiago XZ PETROL
Tata,ALTROZ XT PETROL,Manual,2020,01-09-2020,Petrol,1199,58047,1st owner,590000,11543,TRUE,No,DL2C,2020 Tata ALTROZ XT PETROL
Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2018,01-10-2018,Petrol,1462,76120,1st owner,721000,14096,TRUE,Yes,DL3C,2018 Maruti Ciaz ALPHA 1.5 SHVS PETROL
Hyundai,Xcent SX 1.2,Manual,2017,01-06-2017,Petrol,1197,60964,1st owner,449000,8781,TRUE,No,UP14,2017 Hyundai Xcent SX 1.2
Tata,Tiago XT (O) PETROL,Manual,2023,01-01-2023,Petrol,1199,17297,1st owner,574000,11231,TRUE,No,DL3C,2023 Tata Tiago XT (O) PETROL
Renault,TRIBER RXZ,Manual,2020,01-02-2021,Petrol,999,34646,1st owner,594000,11618,TRUE,No,HR51,2020 Renault TRIBER RXZ
Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,Automatic,2018,01-09-2018,Petrol,1462,45254,2nd owner,687000,13431,TRUE,No,HR51,2018 Maruti Ciaz DELTA AT 1.5 SHVS PETROL
Maruti,Ciaz ZETA AT 1.5  SHVS PETROL,Automatic,2022,01-02-2022,Petrol,1462,24062,1st owner,1041000,19810,TRUE,No,DL8C,2022 Maruti Ciaz ZETA AT 1.5  SHVS PETROL
Hyundai,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Manual,2016,01-12-2016,Petrol,1197,28221,1st owner,456000,8921,TRUE,No,DL8C,2016 Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT
Maruti,XL6 ALPHA PLUS MT,Manual,2022,01-10-2022,Petrol,1462,43830,1st owner,1196000,22765,TRUE,No,HR98,2022 Maruti XL6 ALPHA PLUS MT
Maruti,Wagon R 1.0 VXI AMT,Automatic,2016,01-02-2016,Petrol,998,21218,1st owner,375000,7322,TRUE,No,DL12,2016 Maruti Wagon R 1.0 VXI AMT
Hyundai,NEW SANTRO SPORTZ CNG,Manual,2020,01-09-2020,CNG,1086,62996,1st owner,504000,9845,TRUE,Yes,DL1C,2020 Hyundai NEW SANTRO SPORTZ CNG
Maruti,XL6 ALPHA PLUS AT,Automatic,2022,01-09-2022,Petrol,1462,40395,2nd owner,1152000,21927,TRUE,No,HR26,2022 Maruti XL6 ALPHA PLUS AT
Maruti,Baleno ZETA CVT PETROL 1.2,Automatic,2017,01-10-2017,Petrol,1197,42752,1st owner,567000,11085,TRUE,No,DL10,2017 Maruti Baleno ZETA CVT PETROL 1.2
Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2019,01-11-2019,Petrol,1462,59733,1st owner,751000,14682,TRUE,No,HR12,2019 Maruti Ciaz ALPHA 1.5 SHVS PETROL
Maruti,Ciaz ALPHA 1.4 PETROL,Manual,2017,01-11-2017,Petrol,1373,92389,1st owner,607000,11862,TRUE,No,DL9C,2017 Maruti Ciaz ALPHA 1.4 PETROL
Hyundai,VENUE SX 1.0 (O) TURBO,Manual,2020,01-07-2020,Petrol,998,36125,1st owner,864000,16445,TRUE,No,HR26,2020 Hyundai VENUE SX 1.0 (O) TURBO
Maruti,Ciaz ALPHA 1.5 SHVS PETROL,Manual,2020,01-10-2020,Petrol,1462,26202,1st owner,825000,15703,TRUE,No,DL2C,2020 Maruti Ciaz ALPHA 1.5 SHVS PETROL
Volkswagen,VIRTUS COMFORTLINE TSI 1.0 MT,Manual,2022,01-09-2022,Petrol,999,27653,1st owner,918000,17473,TRUE,No,HR26,2022 Volkswagen VIRTUS COMFORTLINE TSI 1.0 MT
Honda,City 1.5L I-VTEC SV CVT,Automatic,2016,01-07-2016,Petrol,1497,61033,2nd owner,572000,11173,TRUE,No,HR26,2016 Honda City 1.5L I-VTEC SV CVT
KIA,SONET HTK PLUS 1.2,Manual,2023,01-02-2023,Petrol,1197,7907,1st owner,898000,17093,TRUE,Yes,DL12,2023 KIA SONET HTK PLUS 1.2
MG,HECTOR SUPER 1.5 PETROL,Manual,2020,01-08-2020,Petrol,1451,26793,1st owner,1135000,21604,TRUE,No,HR26,2020 MG HECTOR SUPER 1.5 PETROL
Volkswagen,VIRTUS HIGHLINE TSI 1.0 AT,Automatic,2023,01-05-2023,Petrol,999,9083,1st owner,1383000,26324,TRUE,No,HR98,2023 Volkswagen VIRTUS HIGHLINE TSI 1.0 AT
Tata,Tiago XT PETROL,Manual,2018,01-04-2018,Petrol,1199,50015,2nd owner,371000,7245,TRUE,No,DL5C,2018 Tata Tiago XT PETROL
Nissan,MAGNITE XE,Manual,2022,01-10-2022,Petrol,999,22517,1st owner,562000,10981,TRUE,No,DL3C,2022 Nissan MAGNITE XE
Skoda,Rapid AMBITION 1.6 MPI AT,Automatic,2017,01-02-2017,Petrol,1598,100001,2nd owner,546000,12153,TRUE,No,HR26,2017 Skoda Rapid AMBITION 1.6 MPI AT
Maruti,Swift VXI,Manual,2023,01-03-2023,Petrol,1197,14887,1st owner,638000,12473,TRUE,No,HR87,2023 Maruti Swift VXI
Honda,Amaze 1.2L I-VTEC S,Manual,2020,01-09-2020,Petrol,1199,48004,2nd owner,493000,9638,TRUE,No,DL8C,2020 Honda Amaze 1.2L I-VTEC S
Maruti,Ertiga LXI,Manual,2012,01-07-2012,Petrol,1373,52706,2nd owner,330000,10958,TRUE,No,DL3C,2012 Maruti Ertiga LXI
Toyota,YARIS G MT,Manual,2020,01-09-2020,Petrol,1496,37628,1st owner,803000,15287,TRUE,No,UP32,2020 Toyota YARIS G MT
Datsun,Go Plus T (O),Manual,2018,01-03-2018,CNG,1198,23055,2nd owner,331000,6471,TRUE,No,DL8C,2018 Datsun Go Plus T (O)
Maruti,Alto K10 LXI,Manual,2023,01-05-2023,Petrol,998,14943,1st owner,445000,8700,TRUE,No,DL14,2023 Maruti Alto K10 LXI
Nissan,MAGNITE XE,Manual,2022,01-01-2023,Petrol,999,20338,1st owner,548000,10714,TRUE,No,HR30,2022 Nissan MAGNITE XE
Hyundai,NEW I20 Sportz (O) 1.2 IVT,Automatic,2024,01-04-2024,Petrol,,3295,1st owner,974000,18535,TRUE,Yes,DL10,2024 Hyundai NEW I20 Sportz (O) 1.2 IVT
Mahindra,KUV 100 NXT K2+ P 6 STR,Manual,2020,01-10-2020,Petrol,1198,19376,1st owner,474000,9269,TRUE,Yes,DL8C,2020 Mahindra KUV 100 NXT K2+ P 6 STR
Nissan,MAGNITE XE,Manual,2022,01-02-2022,Petrol,999,31760,1st owner,556000,10879,TRUE,No,DL14,2022 Nissan MAGNITE XE
Mahindra,XUV700 AX 5 P MT 7 STR,Manual,2021,01-11-2021,Petrol,1997,37303,1st owner,1473000,28037,TRUE,Yes,DL8C,2021 Mahindra XUV700 AX 5 P MT 7 STR
Maruti,Baleno DELTA PETROL 1.2,Manual,2022,01-11-2022,Petrol,1197,25782,1st owner,657000,12844,TRUE,No,HR30,2022 Maruti Baleno DELTA PETROL 1.2
Hyundai,VENUE SX 1.2 PETROL,Manual,2022,01-07-2022,Petrol,1197,25523,1st owner,909000,17293,TRUE,No,DL9C,2022 Hyundai VENUE SX 1.2 PETROL
Hyundai,Creta EX 1.5 PETROL,Manual,2022,01-05-2022,Petrol,1497,19352,1st owner,1103000,20995,TRUE,Yes,DL5C,2022 Hyundai Creta EX 1.5 PETROL
Honda,City 1.5L I-VTEC ZX,Manual,2021,01-04-2021,Petrol,1498,28398,1st owner,1078000,20519,TRUE,No,HR36,2021 Honda City 1.5L I-VTEC ZX
Maruti,Dzire LXI,Manual,2017,01-06-2017,Petrol,1197,22148,1st owner,467000,9128,TRUE,No,DL5C,2017 Maruti Dzire LXI
Hyundai,Verna FLUIDIC 1.6 VTVT EX,Manual,2013,01-07-2013,Petrol,1591,75331,1st owner,378000,9943,TRUE,No,DL8C,2013 Hyundai Verna FLUIDIC 1.6 VTVT EX
Honda,Amaze 1.2L I-VTEC S,Manual,2020,01-02-2020,Petrol,1199,52036,1st owner,573000,11202,TRUE,No,HR26,2020 Honda Amaze 1.2L I-VTEC S
Maruti,Swift ZXI PLUS,Manual,2022,01-07-2022,Petrol,1197,24626,1st owner,757000,14792,TRUE,No,DL3C,2022 Maruti Swift ZXI PLUS
Maruti,Vitara Brezza VDI AMT,Automatic,2019,01-10-2019,Diesel,1248,86677,1st owner,632000,14068,TRUE,Yes,DL9C,2019 Maruti Vitara Brezza VDI AMT
Nissan,MAGNITE XL,Manual,2022,01-08-2022,Petrol,999,18222,1st owner,614000,12007,TRUE,Yes,DL3C,2022 Nissan MAGNITE XL
Honda,City 1.5L I-VTEC ZX,Manual,2021,01-11-2021,Petrol,1498,5404,1st owner,1251000,23807,TRUE,Yes,DL4C,2021 Honda City 1.5L I-VTEC ZX
Maruti,Baleno ZETA PETROL 1.2,Manual,2020,01-01-2021,Petrol,1197,72471,2nd owner,572000,11192,TRUE,No,HR70,2020 Maruti Baleno ZETA PETROL 1.2
Renault,Kwid CLIMBER 1.0 AMT,Automatic,2017,01-05-2017,Petrol,999,47819,2nd owner,292000,5709,TRUE,No,DL8C,2017 Renault Kwid CLIMBER 1.0 AMT
Volkswagen,Ameo HIGHLINE PLUS 1.0L 16 ALLOY,Manual,2018,01-11-2018,Petrol,999,40904,1st owner,471000,9208,TRUE,No,DL12,2018 Volkswagen Ameo HIGHLINE PLUS 1.0L 16 ALLOY
Maruti,Celerio VXI,Manual,2022,01-04-2022,Petrol,998,12708,1st owner,494000,9658,TRUE,No,HR51,2022 Maruti Celerio VXI
Nissan,MAGNITE XE,Manual,2022,01-06-2022,Petrol,999,36341,1st owner,551000,10772,TRUE,Yes,HR51,2022 Nissan MAGNITE XE
Maruti,IGNIS DELTA 1.2,Manual,2022,01-08-2022,Petrol,1197,17745,1st owner,525000,10258,TRUE,Yes,DL9C,2022 Maruti IGNIS DELTA 1.2
Nissan,MAGNITE XE,Manual,2021,01-11-2021,Petrol,999,30455,1st owner,522000,10205,TRUE,Yes,DL8C,2021 Nissan MAGNITE XE
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2018,01-12-2018,Petrol,1197,40398,1st owner,396000,7742,TRUE,No,UP25,2018 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Maruti,Wagon R 1.0 VXI+,Manual,2017,01-12-2017,Petrol,998,60446,1st owner,350000,6851,TRUE,No,DL1C,2017 Maruti Wagon R 1.0 VXI+
Renault,Kwid RXT 1.0 (O),Manual,2016,01-10-2016,Petrol,999,20709,1st owner,262000,5126,TRUE,No,DL1C,2016 Renault Kwid RXT 1.0 (O)
Honda,City 1.5L I-VTEC SV,Manual,2017,01-11-2017,Petrol,1497,78608,1st owner,578000,11300,TRUE,Yes,DL3C,2017 Honda City 1.5L I-VTEC SV
Datsun,Redi Go A,Manual,2018,01-09-2018,Petrol,799,84695,1st owner,207000,4039,TRUE,No,UP14,2018 Datsun Redi Go A
Maruti,Wagon R 1.0 LXI CNG,Manual,2018,01-10-2018,CNG,998,56257,1st owner,367000,7175,TRUE,Yes,HR26,2018 Maruti Wagon R 1.0 LXI CNG
Maruti,Swift ZXI PLUS,Manual,2018,01-01-2019,Petrol,1197,27356,2nd owner,569000,11122,TRUE,No,DL8C,2018 Maruti Swift ZXI PLUS
Maruti,Ciaz DELTA DIESEL 1.5,Manual,2019,01-06-2019,Diesel,1498,61329,1st owner,702000,15616,TRUE,No,HR05,2019 Maruti Ciaz DELTA DIESEL 1.5
Hyundai,VENUE S 1.4 CRDI,Manual,2020,01-10-2020,Diesel,1396,46446,1st owner,734000,14357,TRUE,No,HR26,2020 Hyundai VENUE S 1.4 CRDI
Renault,Kwid CLIMBER 1.0 AMT,Automatic,2017,01-08-2017,Petrol,999,41308,3rd owner,285000,5580,TRUE,No,HR31,2017 Renault Kwid CLIMBER 1.0 AMT
Tata,Tiago XT PETROL,Manual,2018,01-02-2018,Petrol,1199,94259,1st owner,384000,7506,TRUE,Yes,UP16,2018 Tata Tiago XT PETROL
Honda,Jazz 1.2L I-VTEC V,Manual,2016,01-12-2016,Petrol,1199,79166,1st owner,382000,7461,TRUE,No,HR51,2016 Honda Jazz 1.2L I-VTEC V
Hyundai,NEW SANTRO SPORTZ MT,Manual,2019,01-10-2019,Petrol,1086,61839,2nd owner,397000,7761,TRUE,Yes,DL10,2019 Hyundai NEW SANTRO SPORTZ MT
Maruti,Baleno SIGMA PETROL 1.2,Manual,2020,01-02-2020,Petrol,1197,46628,1st owner,522000,10205,TRUE,No,HR16,2020 Maruti Baleno SIGMA PETROL 1.2
Maruti,Wagon R 1.0 LXI CNG,Manual,2018,01-04-2018,CNG,998,87192,1st owner,374000,7317,TRUE,Yes,DL2C,2018 Maruti Wagon R 1.0 LXI CNG
Tata,NEXON XM SUNROOF DIESEL,Manual,2022,01-03-2022,Diesel,1497,45834,1st owner,804000,15299,TRUE,No,HR51,2022 Tata NEXON XM SUNROOF DIESEL
Maruti,IGNIS DELTA 1.2,Manual,2022,01-07-2022,Petrol,1197,18015,1st owner,528000,10323,TRUE,Yes,HR10,2022 Maruti IGNIS DELTA 1.2
Tata,NEXON XM SUNROOF DIESEL,Manual,2020,01-10-2020,Diesel,1497,52276,1st owner,718000,14045,TRUE,No,DL9C,2020 Tata NEXON XM SUNROOF DIESEL
Ford,FREESTYLE TITANIUM 1.2 PETROL,Manual,2018,01-06-2018,Petrol,1194,87411,2nd owner,442000,8634,TRUE,Yes,DL2C,2018 Ford FREESTYLE TITANIUM 1.2 PETROL
Maruti,IGNIS DELTA 1.2,Manual,2019,01-05-2019,Petrol,1197,47484,1st owner,431000,8416,TRUE,No,HR51,2019 Maruti IGNIS DELTA 1.2
Hyundai,VENUE S 1.2,Manual,2021,01-11-2021,Petrol,1197,19866,1st owner,765000,14949,TRUE,Yes,HR29,2021 Hyundai VENUE S 1.2
Maruti,Alto K10 VXI,Manual,2023,01-04-2023,Petrol,998,21607,1st owner,467000,9130,TRUE,No,DL7C,2023 Maruti Alto K10 VXI
